Date,marrakech_lag_1,TES,MRE,Total Arrivées,Nuité,Taux d'occupation
05-2024,100.0,767212.0,564022.0,1331234,2267877.0,55.0
06-2024,81.0,683375.0,820357.0,1503732,1967662.0,48.0
07-2024,74.0,860187.0,1695181.0,2555368,2260301.0,52.0
08-2024,79.0,829406.0,987216.0,1816622,2584334.0,62.0
09-2024,85.0,699434.0,581667.0,1281101,2181983.0,55.0
10-2024,81.0,871449.0,627666.0,1499115,2362153.0,56.0
11-2024,87.0,720467.0,559671.0,1280138,1991994.0,51.0
12-2024,82.0,784192.0,753742.0,1537934,1950797.0,48.0
01-2025,78.0,624848.0,640349.0,1265197,1748788.0,44.0
02-2025,84.0,761377.0,634800.0,1396177,1797178.0,50.0
03-2025,84.0,768739.0,583272.0,1352011,1754640.0,40.0
04-2025,83.0,966724.0,698077.0,1664801,2463774.0,57.0
05-2025,86.0,,,154004,2305539.0,54.0
06-2025,78.0,,,1665206,1958326.0,48.0
