place name,rating,reviews,category,city,link
Mk Rooftop Marrakech,4.5,2560,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d1841372-Reviews-Mk_Rooftop_Marrakech-Marrakech_Marrakech_Safi.html
Fluffy,4.9,1745,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d24188953-Reviews-Fluffy-Marrakech_Marrakech_Safi.html
Jardin Majorelle,4.3,52188,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html
Atlas Mountains and 3 Valleys & Waterfalls - Camel Ride Marrakech,4.8,9818,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/AttractionProductReview-g293734-d11989887-Atlas_Mountains_and_3_Valleys_Waterfalls_Camel_Ride_Marrakech-Marrakech_Marrakech_.html
3 Days Desert Tour From Marrakech To Merzouga Dunes & Camel Trek,4.9,9657,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/AttractionProductReview-g293734-d15845614-3_Days_Desert_Tour_From_Marrakech_To_Merzouga_Dunes_Camel_Trek-Marrakech_Marrakech.html
Jemaa el-Fnaa,3.6,39398,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d318047-Reviews-Jemaa_el_Fnaa-Marrakech_Marrakech_Safi.html
Cascades d'Ouzoud,4.5,2065,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d555781-Reviews-Cascades_d_Ouzoud-Marrakech_Marrakech_Safi.html
Hidden Sights of Marrakech:,4.9,224,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/AttractionProductReview-g293734-d13969249-Hidden_Sights_of_Marrakech-Marrakech_Marrakech_Safi.html
TUI BLUE Medina Gardens,4.6,1967,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d6621142-Reviews-TUI_BLUE_Medina_Gardens-Marrakech_Marrakech_Safi.html?
Marrakech Full Day Guided City Tour - Private Tour,4.8,138,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/AttractionProductReview-g293734-d15005461-Marrakech_Full_Day_Guided_City_Tour_Private_Tour-Marrakech_Marrakech_Safi.html
Full Day Marrakech Tour,4.9,66,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/AttractionProductReview-g293734-d23760014-Full_Day_Marrakech_Tour-Marrakech_Marrakech_Safi.html
Mellah,3.9,703,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d478122-Reviews-Mellah-Marrakech_Marrakech_Safi.html
Restaurant Chez Ali,2.7,2423,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d1049214-Reviews-Restaurant_Chez_Ali-Marrakech_Marrakech_Safi.html
Marrakech Tour Guide,4.9,1482,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d2355618-Reviews-Marrakech_Tour_Guide-Marrakech_Marrakech_Safi.html
Marrakech Day Trip with Camel Ride from Casablanca,4.8,572,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/AttractionProductReview-g293732-d11486084-Marrakech_Day_Trip_with_Camel_Ride_from_Casablanca-Casablanca_Casablanca_Settat.html
Marrakech Guided Tours,5.0,978,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d3469271-Reviews-Marrakech_Guided_Tours-Marrakech_Marrakech_Safi.html
marrakechairporttransfer.com,4.5,2614,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d6839330-Reviews-Marrakechairporttransfer_com-Marrakech_Marrakech_Safi.html
Marrakech Desert Trips,4.7,1004,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d10501245-Reviews-Marrakech_Desert_Trips-Marrakech_Marrakech_Safi.html
Maison de la Photographie,4.5,5306,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d1675171-Reviews-Maison_de_la_Photographie-Marrakech_Marrakech_Safi.html
Marrakech PRIVATE TOUR With Locals: Highlights & Hidden Gems,4.9,348,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/AttractionProductReview-g293734-d13155534-Marrakech_PRIVATE_TOUR_With_Locals_Highlights_Hidden_Gems-Marrakech_Marrakech_Safi.html
Authentic Tours Marrakech Day Tours,4.9,254,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d2189217-Reviews-Authentic_Tours_Marrakech_Day_Tours-Marrakech_Marrakech_Safi.html
Marrakech City Tour by Abdel : Morning & Afternoon Options,4.9,321,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/AttractionProductReview-g293734-d19267283-Marrakech_City_Tour_by_Abdel_Morning_Afternoon_Options-Marrakech_Marrakech_Safi.html
Marrakech Best Tours,5.0,367,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d7701174-Reviews-Marrakech_Best_Tours-Marrakech_Marrakech_Safi.html
Marrakech Guide,5.0,107,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d4080054-Reviews-Marrakech_Guide-Marrakech_Marrakech_Safi.html
"Marrakech’s Best Cycling Tour: Culture, Colors, and Charm",4.9,133,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/AttractionProductReview-g293734-d17598161-Marrakech_s_Best_Cycling_Tour_Culture_Colors_and_Charm-Marrakech_Marrakech_Safi.html
Marrakech Insiders,5.0,1216,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d12056073-Reviews-Marrakech_Insiders-Marrakech_Marrakech_Safi.html
Marrakech Eye Tours,5.0,111,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d23272258-Reviews-Marrakech_Eye_Tours-Marrakech_Marrakech_Safi.html
Marrakech Hidden Sites,5.0,179,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d7910067-Reviews-Marrakech_Hidden_Sites-Marrakech_Marrakech_Safi.html
Marrakech  Private Tours,4.8,115,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d3947921-Reviews-Marrakech_Private_Tours-Marrakech_Marrakech_Safi.html
Marrakech Day Trip From Agadir,4.6,122,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/AttractionProductReview-g293731-d13969239-Marrakech_Day_Trip_From_Agadir-Agadir_Souss_Massa.html
Marrakech Camel Trips,5.0,784,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293733-d3975984-Reviews-Marrakech_Camel_Trips-Fez_Fez_Meknes.html
Ready Morocco Tours,5.0,180,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d7379487-Reviews-Ready_Morocco_Tours-Marrakech_Marrakech_Safi.html
