TES,zawina morocco,morocco travel restrictions,mamounia hotel marrakech,is morocco safe,marrakech morocco,agadir morocco,marrakech hotels,morocco travel requirements,morocco trips,morocco weather,places in morocco,rabat morocco,best marrakech hotels,marrakech weather,savoy le grand hotel marrakech,agadir weather,le riad marrakech,riad marrakech pas cher,riad marrakech medina,visit morocco,morocco travel from uk,best places in morocco,morocco holidays,best time to visit morocco,morocco visa,marrakech weather in march,riad marrakech,casablanca weather,tangier morocco,morocco tour,flights to morocco,fes morocco,agadir hotels,ogx argan oil of morocco,chefchaouen morocco,agadir weather may,morocco weather in march,flight to morocco,blue city morocco,morocco country,argan oil morocco,morocco visa for indians,morocco time,agadir weather february,things to do in morocco,morocco visa requirements,casablanca hotel,morocco weather february,marrakech weather february,london to morocco,cheap flights to morocco,casablanca airport,morocco language,morocco map,hotel marrakech,air morocco,riad fes morocco,tangier flights,where is morocco,riad fes maroc,morocco travel,morocco travel advice,flights uk to morocco,kings league morocco,5 star marrakech hotels,morocco,brazil vs morocco,1 week morocco itinerary,morocco earthquake 2023,earthquake in morocco,morocco vs,france morocco,morocco vs france,marrakech weather december,usa vs morocco,rayan morocco,morocco world cup,argentina vs morocco,morocco earthquake death toll,morocco vs portugal,morocco portugal,spain morocco
406796.0,0.0,0.0,34.0,29.0,84.0,90.0,47.0,0.0,85.0,48.0,48.0,85.0,35.0,92.0,0.0,94.0,69.0,15.0,96.0,26.0,20.0,32.0,42.0,22.0,30.0,73.0,94.0,46.0,50.0,44.0,86.0,78.0,32.0,21.0,42.0,26.0,81.0,28.0,28.0,7.0,40.0,0.0,6.0,8.0,53.0,79.0,58.0,11.0,24.0,72.0,47.0,45.0,7.0,23.0,68.0,53.0,47.0,46.0,13.0,29.0,60.0,13.0,23.0,0.0,42.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
455991.0,0.0,0.0,60.0,36.0,53.0,84.0,52.0,0.0,59.0,34.0,47.0,67.0,51.0,65.0,38.0,57.0,100.0,15.0,60.0,29.0,0.0,33.0,74.0,19.0,35.0,16.0,57.0,43.0,58.0,54.0,78.0,56.0,36.0,28.0,61.0,32.0,19.0,28.0,37.0,7.0,54.0,0.0,7.0,11.0,58.0,80.0,57.0,15.0,0.0,49.0,54.0,59.0,8.0,37.0,100.0,69.0,28.0,70.0,12.0,84.0,63.0,12.0,28.0,0.0,72.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
471088.0,0.0,0.0,45.0,45.0,39.0,50.0,57.0,0.0,44.0,26.0,58.0,57.0,44.0,54.0,35.0,46.0,53.0,14.0,50.0,41.0,0.0,51.0,39.0,32.0,41.0,20.0,52.0,54.0,55.0,64.0,52.0,45.0,33.0,24.0,53.0,47.0,24.0,35.0,62.0,9.0,55.0,0.0,8.0,24.0,68.0,44.0,60.0,22.0,0.0,42.0,44.0,61.0,8.0,32.0,75.0,43.0,0.0,73.0,12.0,52.0,60.0,5.0,25.0,0.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
451461.0,0.0,0.0,16.0,40.0,50.0,56.0,21.0,0.0,44.0,26.0,71.0,65.0,62.0,51.0,37.0,35.0,52.0,0.0,50.0,48.0,0.0,68.0,49.0,46.0,45.0,15.0,58.0,70.0,74.0,65.0,58.0,54.0,16.0,34.0,85.0,54.0,25.0,44.0,89.0,9.0,67.0,17.0,10.0,22.0,80.0,36.0,65.0,19.0,0.0,40.0,13.0,59.0,11.0,25.0,68.0,46.0,36.0,57.0,16.0,48.0,33.0,16.0,26.0,0.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
441745.0,11.0,0.0,69.0,46.0,58.0,65.0,40.0,0.0,63.0,31.0,66.0,66.0,66.0,77.0,47.0,50.0,57.0,8.0,56.0,60.0,8.0,56.0,47.0,47.0,46.0,30.0,51.0,56.0,61.0,30.0,58.0,67.0,26.0,52.0,84.0,34.0,36.0,45.0,99.0,9.0,64.0,24.0,11.0,0.0,77.0,49.0,55.0,3.0,0.0,41.0,25.0,23.0,11.0,23.0,84.0,47.0,53.0,32.0,14.0,60.0,100.0,12.0,25.0,0.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
476096.0,0.0,0.0,73.0,16.0,59.0,61.0,39.0,5.0,58.0,26.0,21.0,70.0,14.0,67.0,10.0,42.0,62.0,10.0,50.0,18.0,0.0,15.0,45.0,17.0,14.0,14.0,47.0,42.0,26.0,46.0,56.0,68.0,30.0,54.0,18.0,0.0,20.0,18.0,26.0,8.0,83.0,9.0,12.0,8.0,14.0,56.0,31.0,12.0,0.0,44.0,34.0,41.0,10.0,25.0,81.0,40.0,39.0,41.0,10.0,48.0,64.0,14.0,17.0,0.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
625284.0,0.0,0.0,49.0,47.0,61.0,65.0,42.0,0.0,54.0,30.0,51.0,77.0,52.0,76.0,23.0,50.0,49.0,12.0,39.0,52.0,0.0,43.0,45.0,54.0,38.0,28.0,43.0,51.0,40.0,75.0,55.0,67.0,34.0,39.0,53.0,36.0,23.0,46.0,48.0,13.0,75.0,18.0,14.0,15.0,60.0,52.0,44.0,24.0,0.0,41.0,31.0,64.0,15.0,26.0,77.0,35.0,41.0,72.0,23.0,19.0,61.0,17.0,47.0,0.0,41.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
598406.0,0.0,0.0,36.0,54.0,58.0,48.0,45.0,0.0,46.0,26.0,76.0,74.0,70.0,61.0,38.0,34.0,36.0,9.0,50.0,72.0,0.0,73.0,35.0,81.0,66.0,22.0,48.0,87.0,69.0,70.0,58.0,64.0,37.0,44.0,71.0,41.0,24.0,67.0,76.0,17.0,83.0,42.0,17.0,14.0,81.0,60.0,50.0,21.0,0.0,46.0,30.0,70.0,17.0,24.0,68.0,33.0,41.0,70.0,21.0,25.0,73.0,0.0,33.0,0.0,21.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36989.0,86.0,0.0,92.0,80.0,73.0,52.0,90.0,6.0,81.0,30.0,83.0,77.0,66.0,64.0,95.0,43.0,50.0,92.0,70.0,75.0,6.0,78.0,38.0,77.0,74.0,24.0,63.0,85.0,75.0,100.0,71.0,76.0,79.0,58.0,67.0,79.0,22.0,74.0,75.0,17.0,71.0,80.0,19.0,32.0,79.0,56.0,49.0,33.0,4.0,49.0,99.0,79.0,18.0,26.0,75.0,41.0,54.0,89.0,23.0,31.0,66.0,50.0,32.0,0.0,26.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
241920.0,0.0,0.0,45.0,90.0,79.0,68.0,58.0,8.0,75.0,36.0,88.0,75.0,74.0,84.0,70.0,62.0,63.0,37.0,55.0,83.0,7.0,89.0,44.0,89.0,87.0,35.0,64.0,77.0,86.0,48.0,77.0,100.0,45.0,0.0,72.0,72.0,34.0,87.0,77.0,17.0,76.0,88.0,13.0,0.0,80.0,63.0,47.0,0.0,4.0,58.0,62.0,64.0,17.0,31.0,87.0,50.0,42.0,48.0,23.0,45.0,69.0,8.0,31.0,0.0,22.0,8.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
597667.0,0.0,0.0,50.0,6.0,69.0,60.0,52.0,6.0,73.0,33.0,36.0,66.0,23.0,72.0,0.0,46.0,72.0,34.0,11.0,23.0,6.0,22.0,42.0,23.0,30.0,25.0,16.0,45.0,48.0,34.0,69.0,85.0,39.0,0.0,23.0,53.0,22.0,22.0,0.0,5.0,5.0,0.0,26.0,0.0,39.0,53.0,97.0,0.0,3.0,45.0,69.0,45.0,6.0,26.0,89.0,43.0,0.0,34.0,8.0,29.0,58.0,11.0,42.0,0.0,37.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
691026.0,0.0,30.0,58.0,27.0,16.0,14.0,59.0,77.0,27.0,8.0,21.0,32.0,16.0,11.0,0.0,9.0,15.0,38.0,31.0,15.0,11.0,18.0,11.0,0.0,24.0,0.0,40.0,37.0,35.0,40.0,26.0,25.0,47.0,0.0,14.0,0.0,0.0,16.0,0.0,5.0,4.0,0.0,43.0,0.0,21.0,19.0,76.0,0.0,0.0,14.0,65.0,48.0,6.0,10.0,26.0,20.0,20.0,36.0,10.0,13.0,55.0,14.0,22.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
768739.0,0.0,81.0,45.0,11.0,50.0,48.0,55.0,17.0,55.0,26.0,31.0,56.0,25.0,55.0,0.0,50.0,41.0,30.0,55.0,21.0,64.0,15.0,32.0,13.0,23.0,17.0,53.0,35.0,43.0,47.0,64.0,53.0,40.0,0.0,20.0,37.0,20.0,21.0,0.0,5.0,9.0,20.0,40.0,0.0,33.0,65.0,73.0,0.0,0.0,55.0,55.0,49.0,7.0,19.0,56.0,42.0,34.0,36.0,11.0,15.0,57.0,31.0,32.0,0.0,29.0,5.0,100.0,0.0,0.0,0.0,7.0,1.0,0.0,4.0,5.0,0.0,1.0,4.0,0.0,1.0,1.0,3.0
432338.0,0.0,5.0,61.0,17.0,60.0,57.0,49.0,9.0,59.0,36.0,30.0,72.0,33.0,56.0,0.0,53.0,63.0,20.0,58.0,26.0,17.0,18.0,41.0,15.0,29.0,17.0,66.0,47.0,54.0,49.0,75.0,78.0,36.0,0.0,23.0,38.0,23.0,23.0,0.0,5.0,16.0,0.0,41.0,0.0,39.0,78.0,70.0,2.0,5.0,58.0,43.0,53.0,6.0,22.0,62.0,50.0,32.0,45.0,12.0,38.0,59.0,26.0,36.0,0.0,31.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
500811.0,0.0,0.0,38.0,16.0,75.0,77.0,45.0,10.0,67.0,36.0,44.0,76.0,44.0,77.0,0.0,81.0,70.0,17.0,60.0,29.0,14.0,31.0,41.0,21.0,31.0,25.0,56.0,47.0,52.0,47.0,72.0,72.0,29.0,9.0,33.0,26.0,31.0,26.0,8.0,5.0,31.0,0.0,6.0,0.0,44.0,86.0,68.0,2.0,6.0,66.0,50.0,53.0,7.0,21.0,67.0,48.0,37.0,54.0,12.0,16.0,52.0,27.0,28.0,0.0,34.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
477277.0,0.0,0.0,42.0,35.0,80.0,84.0,47.0,0.0,76.0,40.0,49.0,92.0,39.0,89.0,0.0,97.0,68.0,18.0,85.0,30.0,16.0,40.0,37.0,20.0,31.0,31.0,82.0,45.0,49.0,43.0,80.0,90.0,32.0,15.0,44.0,43.0,28.0,28.0,27.0,7.0,39.0,12.0,8.0,0.0,54.0,72.0,60.0,0.0,4.0,66.0,57.0,50.0,8.0,23.0,60.0,50.0,39.0,48.0,15.0,20.0,61.0,17.0,16.0,0.0,37.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
