date,mm_yy,categorie,nuitees
2014-10-01,10/14,Oujda-Saïdia,99133
2014-10-01,10/14,Rabat,55998
2014-10-01,10/14,Tanger,85790
2014-10-01,10/14,Tétouan,21392
2014-11-01,11/14,Agadir-Ida-Outanane,315221
2014-11-01,11/14,Autres,104516
2014-11-01,11/14,Casablanca,131751
2014-11-01,11/14,El Jadida-Mazagan,23132
2014-11-01,11/14,Essaouira-Mogador,27047
2014-11-01,11/14,Fès,50759
2014-11-01,11/14,Marrakech,448509
2014-11-01,11/14,Meknès,18120
2014-11-01,11/14,Ouarzazate,26494
2014-11-01,11/14,Oujda-Saïdia,13405
2014-11-01,11/14,Rabat,53139
2014-11-01,11/14,Tanger,61957
2014-11-01,11/14,Tétouan,19215
2014-12-01,12/14,Agadir-Ida-Outanane,287364
2014-12-01,12/14,Autres,99941
2014-12-01,12/14,Casablanca,143437
2014-12-01,12/14,El Jadida-Mazagan,21821
2014-12-01,12/14,Essaouira-Mogador,24552
2014-12-01,12/14,Fès,48565
2014-12-01,12/14,Marrakech,433564
2014-12-01,12/14,Meknès,17708
2014-12-01,12/14,Ouarzazate,21486
2014-12-01,12/14,Oujda-Saïdia,13259
2014-12-01,12/14,Rabat,49900
2014-12-01,12/14,Tanger,55949
2014-12-01,12/14,Tétouan,20928
