date,mm_yy,categorie,nuitees
2013-07-01,07/13,Errachidia,3367
2013-07-01,07/13,Essaouira-Mogador,35480
2013-07-01,07/13,Fès,36202
2013-07-01,07/13,Marrakech,430191
2013-07-01,07/13,Meknès,9858
2013-07-01,07/13,Ouarzazate,13084
2013-07-01,07/13,Oujda-Saïdia,62256
2013-07-01,07/13,Rabat,37185
2013-07-01,07/13,Tanger,60328
2013-07-01,07/13,Tétouan,36373
2013-08-01,08/13,Agadir,687134
2013-08-01,08/13,Autres,150131
2013-08-01,08/13,Casablanca,158638
2013-08-01,08/13,El Jadida-Mazagan,82446
2013-08-01,08/13,Errachidia,7738
2013-08-01,08/13,Essaouira-Mogador,55957
2013-08-01,08/13,Fès,58230
2013-08-01,08/13,Marrakech,711689
2013-08-01,08/13,Meknès,17945
2013-08-01,08/13,Ouarzazate,20325
2013-08-01,08/13,Oujda-Saïdia,115142
2013-08-01,08/13,Rabat,43319
2013-08-01,08/13,Tanger,143116
2013-08-01,08/13,Tétouan,82015
2013-09-01,09/13,Agadir,500739
2013-09-01,09/13,Autres,99424
2013-09-01,09/13,Casablanca,181763
2013-09-01,09/13,El Jadida-Mazagan,76784
2013-09-01,09/13,Errachidia,7924
2013-09-01,09/13,Essaouira-Mogador,34757
2013-09-01,09/13,Fès,72135
2013-09-01,09/13,Marrakech,589738
2013-09-01,09/13,Meknès,19236
2013-09-01,09/13,Ouarzazate,27936
2013-09-01,09/13,Oujda-Saïdia,72995
2013-09-01,09/13,Rabat,58583
2013-09-01,09/13,Tanger,94041
2013-09-01,09/13,Tétouan,38008
2013-10-01,10/13,Agadir,426135
2013-10-01,10/13,Autres,95576
2013-10-01,10/13,Casablanca,163964
2013-10-01,10/13,El Jadida-Mazagan,26091
2013-10-01,10/13,Errachidia,17936
2013-10-01,10/13,Essaouira-Mogador,32501
2013-10-01,10/13,Fès,81632
2013-10-01,10/13,Marrakech,599603
2013-10-01,10/13,Meknès,22174
2013-10-01,10/13,Ouarzazate,45635
2013-10-01,10/13,Oujda-Saïdia,20181
2013-10-01,10/13,Rabat,59743
2013-10-01,10/13,Tanger,70126
2013-10-01,10/13,Tétouan,16120
2013-11-01,11/13,Agadir,347994
2013-11-01,11/13,Autres,92595
2013-11-01,11/13,Casablanca,157457
2013-11-01,11/13,El Jadida-Mazagan,11415
2013-11-01,11/13,Errachidia,10914
2013-11-01,11/13,Essaouira-Mogador,27562
2013-11-01,11/13,Fès,66249
2013-11-01,11/13,Marrakech,463548
2013-11-01,11/13,Meknès,16916
2013-11-01,11/13,Ouarzazate,30831
2013-11-01,11/13,Oujda-Saïdia,13254
2013-11-01,11/13,Rabat,52439
2013-11-01,11/13,Tanger,29332
2013-11-01,11/13,Tétouan,13045
2013-12-01,12/13,Agadir,339374
2013-12-01,12/13,Autres,86352
2013-12-01,12/13,Casablanca,155330
2013-12-01,12/13,El Jadida-Mazagan,10630
2013-12-01,12/13,Errachidia,9627
2013-12-01,12/13,Essaouira-Mogador,21998
2013-12-01,12/13,Fès,63911
2013-12-01,12/13,Marrakech,516350
2013-12-01,12/13,Meknès,16343
2013-12-01,12/13,Ouarzazate,30160
2013-12-01,12/13,Oujda-Saïdia,9356
2013-12-01,12/13,Rabat,53262
2013-12-01,12/13,Tanger,29010
2013-12-01,12/13,Tétouan,19897
